Group,Cutoff,Adjusted,Fraction,Percentage,Raw,Labels,Type
All,AO>12,34587,0.923107719,92.30%,34587,34587,Pacbio Validated
All,AO>12,2881,0.076892281,,37468,37468,Non-Validated
All,AO>20,34469,0.942136336,94.20%,34469,34469,Pacbio Validated
All,AO>20,2117,0.057863664,,36586,36586,Non-Validated
Mutect2+Strelka,AO>12,4427,0.646088733,64.60%,4427,4427,Pacbio Validated
Mutect2+Strelka,AO>12,2425,0.353911267,,6852,6852,Non-Validated
Mutect2+Strelka,AO>20,4545,0.587664856,58.80%,4545,4545,Pacbio Validated
Mutect2+Strelka,AO>20,3189,0.412335144,,7734,7734,Non-Validated
Mutect2+RUFUS,AO>12,123,0.386792453,38.70%,123,123/318,Pacbio Validated
Mutect2+RUFUS,AO>12,195,0.613207547,,318,,Non-Validated
Mutect2+RUFUS,AO>20,119,0.429602888,43.00%,119,119/277,Pacbio Validated
Mutect2+RUFUS,AO>20,158,0.570397112,,277,,Non-Validated
RUFUS+Strelka,AO>12,415,0.742397138,74.20%,415,415/559,Pacbio Validated
RUFUS+Strelka,AO>12,144,0.257602862,,559,,Non-Validated
RUFUS+Strelka,AO>20,414,0.799227799,79.90%,414,414/518,Pacbio Validated
RUFUS+Strelka,AO>20,104,0.200772201,,518,,Non-Validated
Mutect,AO>12,244,0.10192147,10.20%,244,244,Pacbio Validated
Mutect,AO>12,2150,0.89807853,,2394,2394,Non-Validated
Mutect,AO>20,246,0.101026694,10.10%,246,246,Pacbio Validated
Mutect,AO>20,2189,0.898973306,,2435,2435,Non-Validated
RUFUS,AO>12,203,0.078317901,7.80%,203,203,Pacbio Validated
RUFUS,AO>12,2389,0.921682099,,2592,2592,Non-Validated
RUFUS,AO>20,203,0.108498129,10.80%,203,203,Pacbio Validated
RUFUS,AO>20,1668,0.891501871,,1871,1871,Non-Validated
Strelka,AO>12,3781,0.296898312,29.70%,3781,3781,Pacbio Validated
Strelka,AO>12,8954,0.703101688,,12735,12735,Non-Validated
Strelka,AO>20,3782,0.296023795,29.60%,3782,3782,Pacbio Validated
Strelka,AO>20,8994,0.703976205,,12776,12776,Non-Validated