Group,Run-Type,Type,Fraction,Percentage,Adjusted,Raw,Labels
All,Full,Pacbio Validated,0.891272437,89.1%,34609,34609,34609
All,Full,Non-Validated,0.108727563,10.9%,4222,38831,38831
All,CbC,Pacbio Validated,0.890393113,89.0%,34858,34858,34858
All,CbC,Non-Validated,0.109606887,11.0%,4291,39149,39149
Mutect2+Strelka,Full,Pacbio Validated,0.802514119,80.3%,4405,4405,4405
Mutect2+Strelka,Full,Non-Validated,0.197485881,19.7%,1084,5489,5489
Mutect2+Strelka,CbC,Pacbio Validated,0.803713015,80.4%,4156,4156,4156
Mutect2+Strelka,CbC,Non-Validated,0.196286985,19.6%,1015,5171,5171
Mutect2+RUFUS,Full,Pacbio Validated,0.243243243,24.3%,126,126,126/518
Mutect2+RUFUS,Full,Non-Validated,0.756756757,75.7%,392,518,
Mutect2+RUFUS,CbC,Pacbio Validated,0.239051095,23.9%,131,131,131/548
Mutect2+RUFUS,CbC,Non-Validated,0.760948905,76.1%,417,548,
RUFUS+Strelka,Full,Pacbio Validated,0.337914309,33.8%,418,418,418
RUFUS+Strelka,Full,Non-Validated,0.662085691,66.2%,819,1237,1237
RUFUS+Strelka,CbC,Pacbio Validated,0.346793349,34.7%,438,438,438
RUFUS+Strelka,CbC,Non-Validated,0.653206651,65.3%,825,1263,1263
Mutect,Full,Pacbio Validated,0.11030082,11.0%,242,242,242
Mutect,Full,Non-Validated,0.88969918,89.0%,1952,2194,2194
Mutect,CbC,Pacbio Validated,0.110443623,11.0%,239,239,239
Mutect,CbC,Non-Validated,0.889556377,89.0%,1925,2164,2164
RUFUS,Full,Pacbio Validated,0.02064632,2.1%,207,207,207
RUFUS,Full,Non-Validated,0.97935368,97.9%,9819,10026,10026
RUFUS,CbC,Pacbio Validated,0.174425217,17.4%,2147,2147,2147
RUFUS,CbC,Non-Validated,0.825574783,82.6%,10162,12309,12309
Strelka,Full,Pacbio Validated,0.313344945,31.3%,3778,3778,3778
Strelka,Full,Non-Validated,0.686655055,68.7%,8279,12057,12057
Strelka,CbC,Pacbio Validated,0.312359737,31.2%,3758,3758,3758
Strelka,CbC,Non-Validated,0.687640263,68.8%,8273,12031,12031